medium,replicate,growth_rate,doubling_time,OD,total_doublings,growth_1_h,constant_1_h,dilution_h,growth_2_h,constant_2_h,total_h,nitrogen_source,turbidostat
Amm,1,0.23275330172126604,2.9780337182499967,0.37670956226550506,17.547731508513422,3.5004583333598243,22.677088888883592,0.15833888888359127,3.708847222195729,22.21300277782811,52.25773611115085,NH4Cl,1
Amm,2,0.2848544411227053,2.433338156245778,0.3984031034586903,20.59038384699303,6.038286111089918,21.580452777809565,0.06666944444179634,2.441694444417955,19.97626388887564,50.10336666663488,NH4Cl,4
Amm,3,0.2672287254545156,2.593834848334538,0.3953931619861856,16.414734784864567,5.275555555555556,17.29275000002649,0.10000833332538406,2.883261111113761,17.025536111129657,42.57711111115085,NH4Cl,3
Glu,1,0.2600233852273578,2.6657109319374297,0.39763902757905245,28.507865150467378,8.276244444449743,39.16293333331744,0.11669166664282216,2.7171027778254597,25.720755555563507,75.99372777779897,glutamate,1
Glu,2,0.20275109334563007,3.4187099518044834,0.39817732581237075,22.04847522289303,7.101138888862398,39.788522222240765,0.1250222222010251,3.442202777796325,24.920455555518465,75.37734166661897,glutamate,3
Glu,3,0.22622956239855896,3.0639107162254784,0.3983278129101828,24.67139722219755,8.351316666669316,38.76041111111641,0.10001944442589661,3.2670777777830793,25.11213333335187,75.59095833334658,glutamate,6
Gly,1,0.05950786601135226,11.647992559970378,0.4042866687208864,8.726411633118815,20.06732499996821,37.84506111111905,0.183352777825462,14.459813888867693,29.089625000026487,101.64517777780691,glycine,6
Gly,2,0.056856349199313046,12.191200988478522,0.4255558131256812,7.988769029478708,18.80863333331214,35.954052777820166,0.21668611109256375,12.543411111103161,29.869905555579393,97.39268888890743,glycine,2
Gly,3,0.06437319441517511,10.76763685346249,0.39369953415320447,8.640117721848394,20.160625,33.152536111142894,0.06667499999205262,10.73432222220633,28.91949166668786,93.03365000002914,glycine,6
Ile,1,0.16305855952984363,4.250909504895281,0.39772935515572205,17.8257983305154,14.660661111076672,32.56078888886505,0.09168055560853361,4.450749999947014,24.011975000037083,75.77585555553435,isoleucine,2
Ile,2,0.14967214530692294,4.63110339695174,0.39652418456779676,16.11851593251741,14.127413888904783,31.998191666669314,0.07501388887564531,4.83397777775923,23.611916666693162,74.64651388890213,isoleucine,4
Ile,3,0.12258022581060783,5.654641080779946,0.3987263289648168,13.260060587790612,14.62724999997351,31.83272777782546,0.12502499997615502,5.884161111116413,22.511719444460333,74.98088333335187,isoleucine,5
Phe,1,0.09656782313649731,7.177827541790925,0.40622248106650694,14.165011700140724,12.200855555534362,37.92258611109522,0.12500555555025983,9.276066666709049,42.14949722217188,101.67401111106078,phenylalanine,5
Phe,2,0.09589688438006456,7.228046928123554,0.3946949354601626,13.478607610347067,12.531886111100516,38.60500555555026,0.01666666666666572,7.184130555589995,39.08631944444444,97.42400833335188,phenylalanine,1
Phe,3,0.09661295920325348,7.174474172783678,0.3963454268915706,12.964653960684414,13.325327777796321,39.786638888849154,0.19168333338367205,7.24250277777513,32.46842222220368,93.01457500000795,phenylalanine,7
Pro,1,0.20035708494810198,3.459559120354988,0.3727599271439029,15.107436417817741,7.975497222211626,20.65174166666137,0.13334444443384896,4.28401944445239,19.220466666685212,52.26506944444445,proline,2
Pro,2,0.1732514114112252,4.0008169336912855,0.3938295879901617,18.635327376636482,10.147988888886239,22.979694444470937,0.15002222220103079,3.933808333343933,37.345019444425894,74.55653333332803,proline,6
Pro,3,0.17803344360094553,3.8933537797179585,0.3949285509942339,12.07927874433916,7.476102777785725,23.693466666671966,0.050002777775130625,4.350397222240769,11.458936111066073,47.028905555539666,proline,3
Ser,1,0.11455996783061459,6.050518289118367,0.39636568664780636,8.639441238655529,6.767005555563503,21.826611111097865,0.17501388894187286,7.409891666637524,16.09457500000795,52.273097222248715,serine,3
Ser,2,0.11896629817085594,5.826416314681554,0.39418155604472394,12.792099022623214,10.940597222182486,22.304488888912736,0.0500083333253869,5.733875000013242,35.503125,74.53209444443385,serine,7
Ser,3,0.09997354842601686,6.933305774105768,0.39565148252950827,10.611375111721589,9.217458333306842,19.877024999989402,0.03333611110846135,6.858441666695807,37.585647222201025,73.57190833330154,serine,1
Trp,1,0.0474464197033484,14.609051323445348,0.38498568582862924,9.694992597989573,43.38790277779103,35.627816666629585,0.15840000000265775,17.17085555553436,45.28966944449479,141.63464444445242,tryptophan,7
Trp,2,0.05859033800615993,11.83040078190146,0.39387272077969737,8.230237984654263,15.782569444444444,39.53004722224341,0.041672222216924126,14.260208333333331,27.752516666650763,97.36701388888888,tryptophan,3
Trp,3,0.047768433060377424,14.510569766519962,0.39829377183520964,6.41366173819888,28.319158333275052,24.977013888888887,0.17501388887563962,14.892647222214272,24.70205277774069,93.06588611099454,tryptophan,4
