PomBaseIDs,annotations,class,subclass
SPAC1002.09c,cellular amino acid metabolic process;generation of precursor metabolites and energy;nucleobase-containing small molecule metabolic process;sulfur compound metabolic process,2: Precursors/Energy,Other
SPAC1002.11,lipid metabolic process,4: Lipids,NA
SPAC1002.12c,cellular amino acid metabolic process,3: Amino acids,NA
SPAC1002.13c,carbohydrate metabolic process,6: Other metabolism,NA
SPAC1002.17c,nucleobase-containing small molecule metabolic process,6: Other metabolism,NA
SPAC1002.19,vitamin metabolic process,5: Vitamins,NA
SPAC1006.05c,lipid metabolic process,4: Lipids,NA
SPAC1006.07,translation,0: Translation/RiBi,NA
SPAC1039.01,transmembrane transport,6: Other metabolism,NA
SPAC1039.02,nucleobase-containing small molecule metabolic process,6: Other metabolism,NA
SPAC1039.06,cellular amino acid metabolic process,3: Amino acids,NA
SPAC1039.08,cellular amino acid metabolic process;sulfur compound metabolic process,3: Amino acids,NA
SPAC1039.09,transmembrane transport,6: Other metabolism,NA
SPAC1039.10,cellular amino acid metabolic process,3: Amino acids,NA
SPAC105.01c,transmembrane transport,6: Other metabolism,NA
SPAC1071.02,sulfur compound metabolic process,6: Other metabolism,NA
SPAC1071.05,translation,0: Translation/RiBi,NA
SPAC1071.07c,translation,0: Translation/RiBi,NA
SPAC1071.08,translation,0: Translation/RiBi,NA
SPAC1071.10c,transmembrane transport,6: Other metabolism,NA
SPAC1093.02,vitamin metabolic process,5: Vitamins,NA
SPAC1093.05,translation,0: Translation/RiBi,NA
SPAC10F6.01c,sulfur compound metabolic process,6: Other metabolism,NA
SPAC10F6.03c,nucleobase-containing small molecule metabolic process,6: Other metabolism,NA
SPAC10F6.10,translation,0: Translation/RiBi,NA
SPAC10F6.13c,cellular amino acid metabolic process,3: Amino acids,NA
SPAC10F6.17c,generation of precursor metabolites and energy,2: Precursors/Energy,Other
SPAC110.03,vesicle-mediated transport,6: Other metabolism,NA
SPAC1142.02c,vesicle-mediated transport,6: Other metabolism,NA
SPAC1142.04,translation,0: Translation/RiBi,NA
SPAC1142.07c,vesicle-mediated transport,6: Other metabolism,NA
SPAC11D3.09,cellular amino acid metabolic process,3: Amino acids,NA
SPAC11D3.14c,sulfur compound metabolic process,6: Other metabolism,NA
SPAC11D3.15,sulfur compound metabolic process,6: Other metabolism,NA
SPAC11D3.18c,transmembrane transport,6: Other metabolism,NA
SPAC11E3.02c,vesicle-mediated transport,6: Other metabolism,NA
SPAC11E3.07,transmembrane transport,6: Other metabolism,NA
SPAC11E3.11c,vesicle-mediated transport,6: Other metabolism,NA
SPAC11E3.13c,carbohydrate metabolic process,6: Other metabolism,NA
SPAC11E3.15,translation,0: Translation/RiBi,NA
SPAC11G7.03,generation of precursor metabolites and energy;tricarboxylic acid cycle,2: Precursors/Energy,TCA cycle
SPAC11H11.01,vesicle-mediated transport,6: Other metabolism,NA
SPAC11H11.06,vesicle-mediated transport,6: Other metabolism,NA
SPAC1250.05,translation,0: Translation/RiBi,NA
SPAC1296.01c,nucleobase-containing small molecule metabolic process,6: Other metabolism,NA
SPAC1296.02,generation of precursor metabolites and energy;oxidative phosphorylation,2: Precursors/Energy,OXPHOS
SPAC1296.06,sulfur compound metabolic process,6: Other metabolism,NA
SPAC12B10.02c,vesicle-mediated transport,6: Other metabolism,NA
SPAC12B10.09,transmembrane transport,6: Other metabolism,NA
SPAC12B10.16c,carbohydrate metabolic process,6: Other metabolism,NA
