PomBaseIDs,medium,replicate,proteome_fraction
SPBC1815.01,Glu,1,0.04307028747614941
SPBC32F12.11,Glu,1,0.0396786012693709
SPBC14F5.04c,Glu,1,0.02310980127196165
SPCC13B11.01,Glu,1,0.017215928567955487
SPAC9.09,Glu,1,0.017310904257553567
SPCC794.09c,Glu,1,0.017837360026580363
SPAC1F8.07c,Glu,1,0.02110426875861833
SPBC19C2.07,Glu,1,0.025803242038680067
SPAC4H3.10c,Glu,1,0.02076935962704771
SPCC1739.13,Glu,1,0.018380227871323974
SPCC24B10.21,Glu,1,0.006888612125968307
SPAC926.04c,Glu,1,0.015975138307604525
SPBC26H8.01,Glu,1,0.013141588634732818
SPAC26F1.06,Glu,1,0.011903205231579382
SPAC29B12.04,Glu,1,0.003846766160202379
SPBC56F2.12,Glu,1,0.007035739350903771
SPBC1604.05,Glu,1,0.00537409260282309
SPBC660.16,Glu,1,0.007772860275479486
SPCP31B10.07;SPAC513.01c,Glu,1,0.008103854289844944
SPCC417.08,Glu,1,0.0100661945043926
SPBC8D2.18c,Glu,1,0.008290480863188787
SPAC1071.10c,Glu,1,0.013048620826296707
SPBC16H5.02,Glu,1,0.007373048551658074
SPAC24C9.12c,Glu,1,0.005735718023466127
SPBC32H8.12c,Glu,1,0.006923429149094366
SPCC1223.02,Glu,1,0.006865340931020615
SPAC12G12.04,Glu,1,0.004759244121692008
SPBP8B7.03c,Glu,1,0.005638724664465119
SPBC14F5.05c,Glu,1,0.004931725340908391
SPAC4A8.11c,Glu,1,0.0035473411814257653
SPCC1020.06c,Glu,1,0.003100444576642749
SPBC2G5.05,Glu,1,0.0059676303665800266
SPAC6B12.15,Glu,1,0.003648740269770961
SPAC9E9.09c,Glu,1,0.0022243425012840974
SPAC821.10c,Glu,1,0.0021924417664191667
SPCC330.06c,Glu,1,0.0019199241911822093
SPAC4F8.07c,Glu,1,0.006305858516064819
SPBC215.08c,Glu,1,0.002652528428014259
SPAC23C11.05,Glu,1,0.003351795082879651
SPBC428.02c,Glu,1,0.0015576187044752784
SPBC17G9.11c,Glu,1,0.0020551482983927195
SPAC8E11.02c,Glu,1,0.003987169559481938
SPAC926.09c,Glu,1,0.0041382888657820385
